team,season,sos_sp,n_rated_opponents
Northwestern State,2004,-15.9,1
Notre Dame,2004,9.6909,11
Ohio,2004,-5.85,10
Ohio State,2004,8.3182,11
Oklahoma,2004,8.7167,12
Oklahoma State,2004,6.9,11
Ole Miss,2004,5.7727,11
Oregon,2004,6.6909,11
Oregon State,2004,11.6364,11
Penn State,2004,4.8727,11
Pittsburgh,2004,-0.85,10
Portland State,2004,14.9,1
Purdue,2004,5.1273,11
Rice,2004,-2.9091,11
Richmond,2004,8.1,1
Rutgers,2004,-0.01,10
SMU,2004,0.6,11
Sacramento State,2004,-19.0,1
Samford,2004,12.4,1
San Diego State,2004,2.76,10
San José State,2004,-2.32,10
Savannah State,2004,-37.4,2
South Carolina,2004,6.0636,11
South Florida,2004,0.44,10
Southeast Missouri State,2004,-5.15,2
Southern Illinois,2004,4.0,1
Southern Miss,2004,-0.7636,11
Stanford,2004,8.8727,11
Stephen F. Austin,2004,-27.8,2
Syracuse,2004,3.7727,11
TCU,2004,-1.0273,11
Temple,2004,1.8364,11
Tennessee,2004,8.0,12
Tennessee State,2004,-37.4,2
Tennessee Tech,2004,-9.7,1
Texas,2004,7.3455,11
Texas A&M,2004,11.5273,11
Texas State,2004,-10.4667,3
Texas Tech,2004,7.4636,11
The Citadel,2004,9.85,2
Toledo,2004,-6.1833,12
Troy,2004,-6.9727,11
Tulane,2004,-6.2091,11
Tulsa,2004,-2.0091,11
UAB,2004,-3.0818,11
UCF,2004,-4.6636,11
UCLA,2004,7.4182,11
UConn,2004,-3.01,10
UL Monroe,2004,-8.9909,11
UNLV,2004,1.7455,11
USC,2004,9.5583,12
UT Martin,2004,-21.7,1
UTEP,2004,-1.44,10
Utah,2004,0.7455,11
Utah State,2004,-5.2909,11
VMI,2004,-14.8,1
Vanderbilt,2004,5.64,10
Virginia,2004,7.0545,11
Virginia Tech,2004,4.8333,12
Virginia Union,2004,-37.4,2
Wake Forest,2004,8.2,10
Washington,2004,9.5727,11
Washington State,2004,6.8727,11
Weber State,2004,9.0,1
West Virginia,2004,-1.63,10
Western Carolina,2004,9.2,1
Western Illinois,2004,1.9,1
Western Kentucky,2004,-15.9,3
Western Michigan,2004,-3.54,10
William & Mary,2004,12.8,1
Wisconsin,2004,3.4545,11
Wyoming,2004,1.65,10
Youngstown State,2004,-27.8,2
Air Force,2005,-1.8545,11
Akron,2005,-8.6333,12
Alabama,2005,2.5091,11
